HotspotID,LabName,Addresses,City,Latitude,Longitude
161,"Grant Medical College & Sir JJ Hospital, Mumbai","J J Marg, Nagpada-Mumbai Central, J J Marg, Nagpada-Mumbai Central, Mumbai, Maharashtra 400008", Mumbai,,
162,"All India Institute of Medical Sciences (AIIMS), Bhubaneswar","All India Institute of Medical Sciences (AIIMS), Sijua, Patrapada, Bhubaneswar, Odisha 751019", Bhubaneswar,28.0706,76.0067
163,"Sir Ronald Ross of Tropical & Communicable Diseases, Hyderabad","Sir Ronald Ross of Tropical & Communicable Diseases, (Fever Hospital), CGHS Complex, Old Aiport Road, Motilal Nehru Nagar, Begumpet, Hyderabad, Telangana 500016", Hyderabad,17.48,78.4266
164,"Nizam's Institute Of Medical Sciences, Hyderabad","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082", Hyderabad,17.5,78.2009
165,"ICMR- Regional Medical Research Centre, Gorakhpur","Baba Raghav Das (BRD) Medical College Campus, Gorakhpur, Uttar Pradesh PIN-273013", Gorakhpur,,
166,"iGenetic Diagnostics Pvt. Ltd., Mumbai","1st Floor, krislon House, Off Marol Military Road, Andheri East, Mumbai Maharashtra 400072", Mumbai,19.0737,72.9009
167,"Apollo Gleneagles Hospitals, Kolkata","Apollo Gleneagles Hospitals, 58, Canal Circular Road, Kolkata, West Bengal 700054", Kolkata,22.56263,88.36304
168,"Modern Diagnostic & Research Centre Laboratory, Gurugram","363-364/4, Jawahar Nagar, New Railway Road, Gurugram-122001, Haryana", Gurugram,29.25,76.33333
169,"Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, Hyderabad","Apollo Health and Lifestyle Limited-Secunderabad, Diagnostics Laboratory, NOS, 140/A, 140/B, 140/C, 141/A, 141/B, 141/C, Thokatta Village, Bowenpally, Secunderabad, Telangana, Hyderabad-500011", Hyderabad,17.48,78.4266
170,"Department of Laboratory Services Apollo Hospitals, Bhubaneswar","Department of Laboratory Services Apollo Hospitals, Plot no 251, Sainik School Rd, Unit 15, Gajapati Nagar, Bhubaneswar, Odisha 751005", Bhubaneswar,20.27241,85.83385
171,"Dr. Remedies labs Private Limited , Hyderabad","Titus Plaza, 1st Floor, Sharma Commercial Complex, Hyderabad, Telangana 500082", Hyderabad,17.5,78.2009
172,"Sir Ganga Ram Hospital Clinical Laboratory Services, New Delhi","Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060", New Delhi,28.63576,77.22445
173,"Oncquest Laboratories Limited, New Delhi","ONCQUEST LABORATORIES LIMITED, 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029", New Delhi,,
174,"PanGenomics International Pvt. Ltd., Ahmedabad","1st floor sankalp Squre Juna sharda Mandir Cross Road, Ahmedabad, Gujarat 380006", Ahmedabad,23.02579,72.58727
175,"Sri Ramachandra Laboratory Services, Chennai","No.1 Ramachandra Nagar, Porur, Chennai - 600116 Tamil Nadu, India", Chennai,13.0356,80.1582
